user_id,cluster,n_reviews,avg_rating,active_years
117444,5,1,5.0,1
396020,0,1,2.0,1
669923,0,1,2.0,1
328982,5,1,5.0,1
672746,0,1,3.0,1
521008,5,1,5.0,1
398977,5,1,5.0,1
1051683,5,1,5.0,1
31901,1,1,4.0,1
765167,4,2,5.0,1
898512,1,1,4.0,1
308926,0,1,1.0,1
182911,5,1,5.0,1
171565,5,1,5.0,1
704713,5,1,5.0,1
639985,1,1,4.0,1
585431,5,1,5.0,1
345264,5,1,5.0,1
833283,5,1,5.0,1
170786,5,1,5.0,1
554195,5,1,5.0,1
246551,4,2,5.0,1
605282,1,1,4.0,1
934070,4,2,5.0,1
1656,0,1,1.0,1
969276,5,1,5.0,1
739244,5,1,5.0,1
910100,0,1,1.0,1
121632,3,3,4.6666665,6
452332,5,1,5.0,1
1031364,5,1,5.0,1
1108385,5,1,5.0,1
213847,3,2,5.0,4
495724,5,1,5.0,1
205533,5,1,5.0,1
1144383,5,1,5.0,1
598736,2,2,2.0,2
347404,0,1,1.0,1
219599,1,1,4.0,1
342306,5,1,5.0,1
942429,5,1,5.0,1
1066343,0,1,1.0,1
555223,5,1,5.0,1
888450,5,1,5.0,1
349660,1,1,4.0,1
614033,5,1,5.0,1
331723,4,2,4.0,2
1138450,5,1,5.0,1
934980,0,1,2.0,1
89825,1,1,4.0,1
396696,1,1,4.0,1
397605,5,1,5.0,1
726455,1,1,4.0,1
448723,5,1,5.0,1
612645,0,1,3.0,1
1089981,0,1,2.0,1
1008063,0,1,1.0,1
861532,5,1,5.0,1
1140439,1,1,4.0,1
112815,1,1,4.0,1
1118088,0,1,2.0,1
223091,5,1,5.0,1
236293,5,1,5.0,1
460095,5,1,5.0,1
306237,5,1,5.0,1
154623,5,1,5.0,1
999439,1,1,4.0,1
1052202,5,1,5.0,1
221624,5,1,5.0,1
395106,1,1,4.0,1
1043606,4,2,4.5,1
341563,5,1,5.0,1
978177,0,1,2.0,1
569841,5,1,5.0,1
685930,0,1,2.0,1
802022,5,1,5.0,1
836328,5,1,5.0,1
981237,1,1,4.0,1
380097,5,1,5.0,1
937786,5,1,5.0,1
691629,5,1,5.0,1
197167,2,3,3.6666667,4
22702,5,1,5.0,1
634491,5,1,5.0,1
1015542,5,1,5.0,1
948056,5,1,5.0,1
271963,5,1,5.0,1
727850,5,1,5.0,1
1009660,5,1,5.0,1
545787,5,1,5.0,1
630897,0,1,3.0,1
189644,0,1,1.0,1
51963,0,1,3.0,1
90232,5,1,5.0,1
961535,0,1,1.0,1
244841,5,1,5.0,1
189392,5,1,5.0,1
1086062,5,1,5.0,1
863882,5,1,5.0,1
853804,5,1,5.0,1
636136,4,2,5.0,1
288949,5,1,5.0,1
430320,0,1,1.0,1
759603,5,1,5.0,1
957436,5,1,5.0,1
405368,5,1,5.0,1
259408,5,1,5.0,1
658616,5,1,5.0,1
94226,0,1,2.0,1
155546,0,1,2.0,1
539469,0,1,3.0,1
